Interval=,0.001 s,
ExcelDateTime=,4.54E+04,26:05.7
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0.478,-0.0003125,-0.038125
0.479,-0.000625,-0.0384375
0.48,-0.000625,-0.0390625
0.481,-0.0009375,-0.039375
0.482,-0.0009375,-0.0396875
0.483,-0.0009375,-0.04
0.484,-0.00125,-0.040625
0.485,-0.00125,-0.0409375
0.486,-0.00125,-0.0415625
0.487,-0.0015625,-0.041875
0.488,-0.0015625,-0.0421875
0.489,-0.001875,-0.0428125
0.49,-0.001875,-0.043125
0.491,-0.001875,-0.04375
0.492,-0.001875,-0.0440625
0.493,-0.0021875,-0.044375
0.494,-0.0021875,-0.045
0.495,-0.0021875,-0.045
0.496,-0.0021875,-0.045625
0.497,-0.0021875,-0.0459375
0.498,-0.0021875,-0.0459375
0.499,-0.0021875,-0.04625
0.5,-0.0021875,-0.0465625
0.501,-0.0025,-0.0465625
0.502,-0.0025,-0.046875
0.503,-0.0025,-0.046875
0.504,-0.0025,-0.046875
0.505,-0.0025,-0.0471875
0.506,-0.0025,-0.0471875
0.507,-0.0025,-0.0471875
0.508,-0.0028125,-0.0471875
0.509,-0.0028125,-0.0471875
0.51,-0.0028125,-0.0471875
0.511,-0.0028125,-0.046875
0.512,-0.0028125,-0.046875
0.513,-0.003125,-0.0465625
0.514,-0.003125,-0.04625
0.515,-0.003125,-0.04625
0.516,-0.003125,-0.045625
0.517,-0.003125,-0.045625
0.518,-0.003125,-0.045
0.519,-0.003125,-0.045
0.52,-0.003125,-0.044375
0.521,-0.003125,-0.044375
0.522,-0.0028125,-0.0440625
0.523,-0.0028125,-0.0434375
0.524,-0.0028125,-0.0434375
0.525,-0.0025,-0.043125
0.526,-0.0025,-0.0428125
0.527,-0.0025,-0.0428125
0.528,-0.0021875,-0.0421875
0.529,-0.0021875,-0.0421875
0.53,-0.0021875,-0.041875
0.531,-0.0021875,-0.0415625
0.532,-0.0021875,-0.04125
0.533,-0.0021875,-0.0409375
0.534,-0.0021875,-0.040625
0.535,-0.0021875,-0.0403125
0.536,-0.0021875,-0.0396875
0.537,-0.0021875,-0.039375
0.538,-0.0021875,-0.03875
0.539,-0.0021875,-0.0384375
0.54,-0.0021875,-0.038125
0.541,-0.0021875,-0.0375
0.542,-0.0021875,-0.0371875
0.543,-0.0021875,-0.036875
0.544,-0.0021875,-0.0365625
0.545,-0.001875,-0.0359375
0.546,-0.001875,-0.0359375
0.547,-0.001875,-0.035625
0.548,-0.001875,-0.0353125
0.549,-0.001875,-0.035
0.55,-0.001875,-0.0346875
0.551,-0.001875,-0.0346875
0.552,-0.001875,-0.034375
0.553,-0.001875,-0.0340625
0.554,-0.0021875,-0.0340625
0.555,-0.0021875,-0.0334375
0.556,-0.0021875,-0.0334375
0.557,-0.0025,-0.0328125
0.558,-0.0025,-0.0325
0.559,-0.0028125,-0.0321875
0.56,-0.0028125,-0.031875
0.561,-0.003125,-0.031875
0.562,-0.003125,-0.0315625
0.563,-0.003125,-0.03125
0.564,-0.0034375,-0.0309375
0.565,-0.0034375,-0.0309375
0.566,-0.00375,-0.0309375
0.567,-0.00375,-0.0309375
0.568,-0.00375,-0.0309375
0.569,-0.00375,-0.0309375
0.57,-0.00375,-0.0309375
0.571,-0.00375,-0.03125
0.572,-0.00375,-0.0315625
0.573,-0.00375,-0.0315625
0.574,-0.00375,-0.031875
0.575,-0.00375,-0.0321875
0.576,-0.00375,-0.0325
0.577,-0.00375,-0.0328125
0.578,-0.00375,-0.033125
0.579,-0.0040625,-0.0334375
0.58,-0.0040625,-0.03375
0.581,-0.0040625,-0.034375
0.582,-0.0040625,-0.0346875
0.583,-0.0040625,-0.0353125
0.584,-0.004375,-0.035625
0.585,-0.004375,-0.0359375
0.586,-0.004375,-0.036875
0.587,-0.0046875,-0.0371875
0.588,-0.0046875,-0.0378125
0.589,-0.0046875,-0.03875
0.59,-0.005,-0.0390625
0.591,-0.005,-0.04
0.592,-0.005,-0.0403125
0.593,-0.005,-0.04125
0.594,-0.0053125,-0.0415625
0.595,-0.0053125,-0.0421875
0.596,-0.0053125,-0.043125
0.597,-0.005625,-0.0434375
0.598,-0.005625,-0.044375
0.599,-0.005625,-0.0446875
0.6,-0.0059375,-0.045
0.601,-0.0059375,-0.0459375
0.602,-0.0059375,-0.04625
0.603,-0.00625,-0.0465625
0.604,-0.00625,-0.0471875
0.605,-0.00625,-0.0475
0.606,-0.00625,-0.048125
0.607,-0.00625,-0.0484375
0.608,-0.00625,-0.0490625
0.609,-0.00625,-0.049375
0.61,-0.00625,-0.05
0.611,-0.00625,-0.0503125
0.612,-0.0059375,-0.0509375
0.613,-0.0059375,-0.05125
0.614,-0.005625,-0.0515625
0.615,-0.0053125,-0.051875
0.616,-0.0053125,-0.0525
0.617,-0.005,-0.0528125
0.618,-0.0046875,-0.053125
0.619,-0.0046875,-0.0534375
0.62,-0.0040625,-0.05375
0.621,-0.00375,-0.05375
0.622,-0.0034375,-0.054375
0.623,-0.003125,-0.054375
0.624,-0.0028125,-0.0546875
0.625,-0.0025,-0.055
0.626,-0.0021875,-0.055
0.627,-0.0015625,-0.0553125
0.628,-0.00125,-0.055625
0.629,-0.00125,-0.055625
0.63,-0.000625,-0.0559375
0.631,-0.0003125,-0.05625
0.632,0,-0.05625
0.633,0.0003125,-0.0565625
0.634,0.000625,-0.056875
0.635,0.0009375,-0.056875
0.636,0.0009375,-0.056875
0.637,0.00125,-0.0571875
0.638,0.0015625,-0.0571875
0.639,0.001875,-0.0571875
0.64,0.001875,-0.0571875
0.641,0.001875,-0.0571875
0.642,0.001875,-0.0571875
0.643,0.001875,-0.056875
0.644,0.001875,-0.056875
0.645,0.001875,-0.056875
0.646,0.001875,-0.056875
0.647,0.001875,-0.0565625
0.648,0.0015625,-0.05625
0.649,0.0015625,-0.05625
0.65,0.00125,-0.0559375
0.651,0.0009375,-0.055625
0.652,0.0009375,-0.055625
0.653,0.000625,-0.0553125
0.654,0.0003125,-0.055
0.655,0,-0.0546875
0.656,-0.0003125,-0.054375
0.657,-0.0003125,-0.0540625
0.658,-0.0009375,-0.0540625
0.659,-0.0009375,-0.05375
0.66,-0.00125,-0.053125
0.661,-0.0015625,-0.053125
0.662,-0.0015625,-0.0528125
0.663,-0.001875,-0.0525
0.664,-0.0021875,-0.0525
0.665,-0.0021875,-0.0521875
0.666,-0.0021875,-0.051875
0.667,-0.0025,-0.0515625
0.668,-0.0025,-0.0515625
0.669,-0.0028125,-0.0515625
0.67,-0.0028125,-0.05125
0.671,-0.0028125,-0.05125
0.672,-0.0028125,-0.05125
0.673,-0.0028125,-0.05125
0.674,-0.0028125,-0.05125
0.675,-0.0028125,-0.05125
0.676,-0.0028125,-0.05125
0.677,-0.0028125,-0.05125
0.678,-0.0025,-0.05125
0.679,-0.0025,-0.05125
0.68,-0.0025,-0.05125
0.681,-0.0021875,-0.05125
0.682,-0.0021875,-0.05125
0.683,-0.0021875,-0.0515625
0.684,-0.001875,-0.0515625
0.685,-0.001875,-0.0515625
0.686,-0.001875,-0.051875
0.687,-0.0015625,-0.051875
0.688,-0.0015625,-0.0521875
0.689,-0.00125,-0.0521875
0.69,-0.00125,-0.0521875
0.691,-0.00125,-0.0525
0.692,-0.0009375,-0.0525
0.693,-0.0009375,-0.0525
0.694,-0.0009375,-0.0528125
0.695,-0.0009375,-0.0528125
0.696,-0.000625,-0.0528125
0.697,-0.000625,-0.0528125
0.698,-0.0009375,-0.0528125
0.699,-0.0009375,-0.0528125
0.7,-0.0009375,-0.0528125
0.701,-0.0009375,-0.0528125
0.702,-0.0009375,-0.0528125
0.703,-0.00125,-0.0525
0.704,-0.00125,-0.0525
0.705,-0.0015625,-0.0525
0.706,-0.001875,-0.0521875
0.707,-0.001875,-0.051875
0.708,-0.0021875,-0.051875
0.709,-0.0025,-0.0515625
0.71,-0.0028125,-0.0515625
0.711,-0.003125,-0.05125
0.712,-0.0034375,-0.05125
0.713,-0.00375,-0.05125
0.714,-0.0040625,-0.0509375
0.715,-0.0046875,-0.0509375
0.716,-0.0046875,-0.050625
0.717,-0.0053125,-0.050625
0.718,-0.005625,-0.050625
0.719,-0.0059375,-0.050625
0.72,-0.00625,-0.050625
0.721,-0.006875,-0.0503125
0.722,-0.006875,-0.0503125
0.723,-0.0071875,-0.0503125
0.724,-0.0078125,-0.05
0.725,-0.008125,-0.05
0.726,-0.0084375,-0.05
0.727,-0.00875,-0.05
0.728,-0.00875,-0.05
0.729,-0.009375,-0.05
0.73,-0.0096875,-0.0496875
0.731,-0.0096875,-0.0496875
0.732,-0.0103125,-0.0496875
0.733,-0.0103125,-0.0496875
0.734,-0.010625,-0.0496875
0.735,-0.0109375,-0.0496875
0.736,-0.0109375,-0.0496875
0.737,-0.01125,-0.049375
0.738,-0.0115625,-0.049375
0.739,-0.011875,-0.049375
0.74,-0.011875,-0.0490625
0.741,-0.0121875,-0.0490625
0.742,-0.0121875,-0.04875
0.743,-0.0125,-0.04875
0.744,-0.0125,-0.04875
0.745,-0.0125,-0.0484375
0.746,-0.0128125,-0.048125
0.747,-0.0128125,-0.048125
0.748,-0.0128125,-0.0478125
0.749,-0.013125,-0.0478125
0.75,-0.013125,-0.0475
0.751,-0.013125,-0.0475
0.752,-0.013125,-0.0475
0.753,-0.0134375,-0.0471875
0.754,-0.0134375,-0.0471875
0.755,-0.0134375,-0.0471875
0.756,-0.01375,-0.046875
0.757,-0.01375,-0.046875
0.758,-0.01375,-0.046875
0.759,-0.0140625,-0.0465625
0.76,-0.0140625,-0.0465625
0.761,-0.0140625,-0.0465625
0.762,-0.014375,-0.04625
0.763,-0.014375,-0.04625
0.764,-0.014375,-0.04625
0.765,-0.0146875,-0.0459375
0.766,-0.0146875,-0.0459375
0.767,-0.0146875,-0.045625
0.768,-0.015,-0.045625
0.769,-0.015,-0.045625
0.77,-0.015,-0.045625
0.771,-0.015,-0.045625
0.772,-0.015,-0.0453125
0.773,-0.0153125,-0.0453125
0.774,-0.0153125,-0.0453125
0.775,-0.0153125,-0.0453125
0.776,-0.0153125,-0.0453125
0.777,-0.0153125,-0.0453125
0.778,-0.015625,-0.045
0.779,-0.015625,-0.045
0.78,-0.015625,-0.045
0.781,-0.015625,-0.0446875
0.782,-0.015625,-0.044375
0.783,-0.0159375,-0.0440625
0.784,-0.0159375,-0.0440625
0.785,-0.0159375,-0.0434375
0.786,-0.0159375,-0.0434375
0.787,-0.0159375,-0.043125
0.788,-0.0159375,-0.0428125
0.789,-0.0159375,-0.0428125
0.79,-0.0159375,-0.0425
0.791,-0.0159375,-0.0425
0.792,-0.0159375,-0.0425
0.793,-0.0159375,-0.0421875
0.794,-0.0159375,-0.0421875
0.795,-0.0159375,-0.0421875
0.796,-0.0159375,-0.0421875
0.797,-0.015625,-0.0421875
0.798,-0.015625,-0.0421875
0.799,-0.015625,-0.0421875
0.8,-0.015625,-0.0421875
0.801,-0.0153125,-0.0421875
0.802,-0.0153125,-0.0421875
0.803,-0.0153125,-0.041875
0.804,-0.015,-0.041875
0.805,-0.015,-0.0415625
0.806,-0.015,-0.0415625
0.807,-0.015,-0.0415625
0.808,-0.0146875,-0.04125
0.809,-0.0146875,-0.04125
0.81,-0.0146875,-0.04125
0.811,-0.0146875,-0.0409375
0.812,-0.0146875,-0.0409375
0.813,-0.0146875,-0.0409375
0.814,-0.0146875,-0.0409375
0.815,-0.0146875,-0.0409375
0.816,-0.0146875,-0.040625
0.817,-0.0146875,-0.040625
0.818,-0.0146875,-0.040625
0.819,-0.0146875,-0.0403125
0.82,-0.015,-0.04
0.821,-0.015,-0.0396875
0.822,-0.0153125,-0.0396875
0.823,-0.0153125,-0.039375
0.824,-0.0153125,-0.0390625
0.825,-0.015625,-0.03875
0.826,-0.015625,-0.03875
0.827,-0.0159375,-0.038125
0.828,-0.0159375,-0.038125
0.829,-0.01625,-0.0378125
0.83,-0.01625,-0.0375
0.831,-0.01625,-0.0375
0.832,-0.0165625,-0.0375
0.833,-0.016875,-0.0371875
0.834,-0.016875,-0.0371875
0.835,-0.016875,-0.0371875
0.836,-0.0171875,-0.0371875
0.837,-0.0171875,-0.0371875
0.838,-0.0175,-0.0371875
0.839,-0.0175,-0.0371875
0.84,-0.0175,-0.0371875
0.841,-0.0178125,-0.0371875
0.842,-0.0178125,-0.0371875
0.843,-0.018125,-0.0371875
